job_title,experience_years,skill_count,education_level,education_institution,location,city_tier,company_type,industry,salary_inr,salary_lpa
Software Engineer,0,8,B.E.,Tier 2,Kolkata,1,product,IT,719411,7.19
Software Engineer,0,3,B.E.,BITS,Kolkata,1,service,IT,541348,5.41
Software Engineer,0,5,B.E.,BITS,Kolkata,1,BPO,IT,415387,4.15
Software Engineer,0,3,B.Tech,NIT,Chennai,1,service,IT,504452,5.04
Software Engineer,0,8,MBA,IIM,Chennai,1,BPO,IT,594479,5.94
Software Engineer,0,8,B.Sc,Tier 3,Chennai,1,KPO,IT,457701,4.58
Software Engineer,0,7,B.Sc,Tier 3,Coimbatore,2,product,IT,584786,5.85
Software Engineer,0,4,B.Sc,Tier 3,Coimbatore,2,startup,IT,407940,4.08
Software Engineer,0,3,B.E.,Tier 2,Indore,2,MNC,IT,672135,6.72
Software Engineer,0,3,B.Sc,Tier 3,Indore,2,product,IT,488065,4.88
Software Engineer,0,6,MBA,IIM,Indore,2,startup,IT,757932,7.58
Software Engineer,0,6,B.Sc,Tier 3,Indore,2,service,IT,334723,3.35
Software Engineer,0,6,B.Sc,Tier 3,Indore,2,KPO,IT,341078,3.41
Software Engineer,0,8,B.Tech,NIT,Jamshedpur,3,startup,IT,583318,5.83
Software Engineer,0,6,B.Tech,NIT,Thiruvananthapuram,3,service,IT,448275,4.48
Software Engineer,0,7,B.Tech,Top Private,Thiruvananthapuram,3,BPO,IT,285528,2.86
Software Engineer,1,6,MBA,IIM,Delhi NCR,1,MNC,IT,1443544,14.44
Software Engineer,1,4,B.E.,Tier 2,Delhi NCR,1,BPO,IT,378930,3.79
Software Engineer,1,5,B.Sc,Tier 3,Delhi NCR,1,KPO,IT,430463,4.3
Software Engineer,1,7,B.Tech,NIT,Hyderabad,1,product,IT,1235299,12.35
Software Engineer,1,8,B.Tech,IIT,Hyderabad,1,service,IT,912326,9.12
Software Engineer,1,7,B.Sc,Tier 3,Hyderabad,1,BPO,IT,417805,4.18
Software Engineer,1,4,MBA,IIM,Ahmedabad,2,MNC,IT,1259873,12.6
Software Engineer,1,8,MBA,IIM,Ahmedabad,2,product,IT,1189555,11.9
Software Engineer,1,8,B.Tech,Top Private,Ahmedabad,2,service,IT,567565,5.68
Software Engineer,1,3,B.Tech,Top Private,Nagpur,2,MNC,IT,801551,8.02
Software Engineer,1,6,B.Sc,Tier 3,Nagpur,2,startup,IT,597406,5.97
Software Engineer,1,4,B.Tech,NIT,Nagpur,2,BPO,IT,432562,4.33
Software Engineer,1,6,MBA,IIM,Nagpur,2,KPO,IT,661695,6.62
Software Engineer,1,3,B.Sc,Tier 3,Bhubaneswar,3,MNC,IT,632751,6.33
